OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,BUFF_DIST,ORIG_FID,pointid,grid_code,Shape_Length,Shape_Area
13,1,13,eb600cad-2487-47e7-bfd9-d6339e174bc6,DRESSER,CDS,BENSON DR,Ct,187.000000000000000,6.000000000000000,36.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,748.000000000000000,35.000000000000000,12,60283,6,0.003346105984094,0.000000746738152
14,1,14,6f29fd7a-8b19-4483-972b-6d7238c5cc98,DRESSER,BENSON DR,WAKE FOREST RD,Ct,704.000000000000000,6.000000000000000,36.000000000000000,0.000000000000000,2.000000000000000,1A,2005.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2816.000000000000000,35.000000000000000,13,60284,6,0.006888587572709,0.000001914135512
15,1,15,0e3b60e2-a49a-49a5-9bbd-37fba1672f46,DREW,CLIFTON ST,END PVMT #626,St,404.000000000000000,18.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2005.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,987.555555555555429,35.000000000000000,14,75877,6,0.004808021494978,0.000001201947148
16,1,16,d5f4d7bd-aa7d-4eb8-bb6b-7cbdd70c1ed9,DREWRY E.,MILTON RD,BYRON PL,Ln,229.000000000000000,10.000000000000000,24.000000000000000,3.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,610.666666666666629,35.000000000000000,15,63776,6,0.003603352569307,0.000000855259281
17,1,17,72a516a3-7342-4ae4-a71b-5fa5fba39c9c,DREWRY E.,BYRON PL,KIPLING PL,Ln,403.000000000000000,10.000000000000000,24.000000000000000,3.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1074.666666666666742,35.000000000000000,16,64166,6,0.004499311715482,0.000001240914009
18,1,18,e1f07abb-3317-4dce-8346-e8f3ac095db7,DREWRY E.,KIPLING PL,ANDERSON DR,Ln,703.000000000000000,10.000000000000000,24.000000000000000,3.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1874.666666666666742,35.000000000000000,17,64557,6,0.006590960823279,0.000001894950769
19,1,19,94bff8cf-7783-484e-9e90-9f2f2b3cdcfa,DREWRY W.,MILTON RD,DELL DR,Ln,1127.000000000000000,10.000000000000000,24.000000000000000,4.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,3005.333333333333485,35.000000000000000,18,63774,6,0.009725511371759,0.000002782486160
20,1,20,f735c0f8-704d-4d0a-9b1a-74753edd0dd3,DREWRY W.,DELL DR,BURNS PL,Ln,294.000000000000000,10.000000000000000,24.000000000000000,4.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,784.000000000000000,35.000000000000000,19,64160,6,0.004115173941126,0.000000993751930
21,1,21,33dcf71c-1a20-41fd-9b2e-90a3735fe220,DREWRY W.,BURNS PL,LANDOR RD,Ln,500.000000000000000,10.000000000000000,24.000000000000000,4.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1333.333333333333258,35.000000000000000,20,64159,11,0.005641501202923,0.000001482797538
22,1,22,c610a8eb-9424-47da-a448-78f3d27482b6,DREXEL,LAMBETH DR,E. ROWAN ST,Dr,313.000000000000000,8.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1982.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,765.111111111111086,35.000000000000000,21,55975,6,0.004102676746761,0.000001070033932
