OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,UHI_Qtile,Shape_Length
1,1,0,b02e9da6-947e-4c44-a4ab-8dec79f811ed,CANOE,HALFHITCH TR,CDS,Ct,257.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2015.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,628.222222222222285,4,0.000681734875050
2,1,1,66aaa5d6-d793-48a8-ae8c-de02f005af7a,COOPER,LITTLE JOHN RD,PARK PROP,Rd,207.000000000000000,15.000000000000000,30.000000000000000,0.000000000000000,2.000000000000000,1A,2003.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,690.000000000000000,4,0.000561678736872
3,1,2,885db353-fdce-4333-b873-681d80525afd,DRAYTON,SALEM WOODS DR,CDS,Ct,88.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,215.111111111111086,2,0.000221567179219
4,1,3,d066fade-51bb-40b9-a2dc-39dd7da6886d,COPLEY,MEMORY LN,BUTLER BV,Dr,442.000000000000000,8.000000000000000,20.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,982.222222222222285,9,0.001216608434325
5,1,4,78abf309-815d-45af-8a06-36c1f6244a3b,DRESDEN,CDS,VALLEY ESTATES DR,Ln,511.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,1990.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1476.222222222222172,3,0.001285343805294
6,1,5,3641df1a-269d-4070-9e9f-37d6aeaab99c,COPPER MINE,MINE VALLEY RD,CDS,Ln,201.000000000000000,10.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,1995.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,491.333333333333314,3,0.000536709273985
7,1,6,a9f06b37-686b-4682-806c-85af55fc7f7e,DRESDEN,VALLEY ESTATES DR,AVALON CT,Ln,743.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2007.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2146.444444444444343,3,0.002057459206322
8,1,7,fba6bd8c-eed0-4c3a-9aea-742499050843,COPPERSMITH,CROWN OAKS DR,CDS,Ct,333.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2009.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,814.000000000000000,5,0.000929624109852
9,1,8,c25d1eba-39ec-4a43-b33c-31fa7a768309,DRESDEN,AVALON CT,WARWOOD CT,Ln,372.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1074.666666666666515,3,0.001012022828819
10,1,9,be5bd4c4-4038-45d1-afba-85ce289fc160,DRESDEN,WARWOOD CT,RICHWOOD CT,Ln,368.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1063.111111111111086,3,0.001075018324962
11,1,10,951d2b5b-a059-4fd9-aeb1-4ada08a5609f,DRESDEN,RICHWOOD CT,LEMON SPRINGS CT,Ln,245.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,707.777777777777715,3,0.000685852513406
12,2,11,c1c50252-0f1b-43df-ba49-fb3dc864350f,DRESDEN,ALBACORE LN,LYNN RD,Ln,803.000000000000000,10.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2008.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2319.777777777777828,3,0.002230889259394
13,1,12,eb600cad-2487-47e7-bfd9-d6339e174bc6,DRESSER,CDS,BENSON DR,Ct,187.000000000000000,6.000000000000000,36.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,748.000000000000000,10,0.000566849941702
14,1,13,6f29fd7a-8b19-4483-972b-6d7238c5cc98,DRESSER,BENSON DR,WAKE FOREST RD,Ct,704.000000000000000,6.000000000000000,36.000000000000000,0.000000000000000,2.000000000000000,1A,2005.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2816.000000000000000,10,0.002338049930768
15,1,14,0e3b60e2-a49a-49a5-9bbd-37fba1672f46,DREW,CLIFTON ST,END PVMT #626,St,404.000000000000000,18.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2005.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,987.555555555555429,10,0.001298041639200
