OBJECTID_1,Active,Street Surface ,COMMENT_STR,COR_BEGIN_DESC,Block Number,COR_COUNCIL_ID,COR_CURB_NUM_ID,COR_EDITNOTE,COR_END_DESC,Leaf Zone,Length(ft),MSD,COR_STREET_NAME,COR_ST_TYPE_ID,COR_SW_NUM_ID,COR_WAKE_ID,Width,County ID,DATE_UPDATE,DIRECTION_ID,EFF_YEAR,Functional Class,Lane Count,PMS_SECTION_ID,USER_UPDATE,COMMENT_ID,GIS ID,LAST_YEAR_CONSTR,Owner,TEMPO_BIRTH_DATE,TEMPO_EFF_BIRTH_DATE,TEMPO_EFF_DEATH_DATE,TKG_PROJ_GROUP_ID,COR_LAST_TRT_COMPL_DATE,COR_INVENTORY_DATE,COR_STREET_GROUP_NUM,AARB_ROADNO,LAST_YEAR_MAINT,LAST_YEAR_PRES,LAST_YEAR_RESURFACING,SE_ANNO_CAD_DATA,GLOBALID_1,COR_FACILITY_ID,COR_ACTIVE_CAT_ID,COR_MSD_ID,GlobalID,OBJECTID,PMS_SECTION_ID,Shape__Length,Leaf ID,ST_TYPE_STRING
12,1,1,,ALBACORE LN,6500,1,2, ,LYNN RD,0,803,0,DRESDEN,10,1,39280,26,105,2/26/2020 12:00:00 AM,,,7,2,1625,BRIAN,,1625,0,1317,3/25/2022 12:00:00 AM,,,1733,,,0,DRESDENLN,0,0,2008,System.Byte[],{48b0be75-d310-44b4-8767-a9126d31207a},9745,1,0,c1c50252-0f1b-43df-ba49-fb3dc864350f,10225,1625,0.0022308899752933,1A,Ln
13,1,1,,CDS,1000,1,2, ,BENSON DR,0,187,0,DRESSER,6,1,33986,36,105,2/26/2020 12:00:00 AM,,,7,2,1626,BRIAN,,1626,0,1317,3/25/2022 12:00:00 AM,,,1735,,,0,DRESSERCT,0,0,0,System.Byte[],{530a96a2-2574-4ea6-bced-379e2594eda2},6704,1,0,eb600cad-2487-47e7-bfd9-d6339e174bc6,10900,1626,0.000566849808179476,1A,Ct
14,1,1,,BENSON DR,1100,1,2, ,WAKE FOREST RD,0,704,0,DRESSER,6,2,31653,36,105,2/26/2020 12:00:00 AM,,,7,2,1627,BRIAN,,1627,0,1317,3/25/2022 12:00:00 AM,,,1735,,,0,DRESSERCT,0,0,2005,System.Byte[],{e160e0ac-746a-4048-a90f-5a3906605c66},19526,1,0,6f29fd7a-8b19-4483-972b-6d7238c5cc98,8333,1627,0.00233805006330352,1A,Ct
15,1,1,,CLIFTON ST,600,3,2, ,END PVMT #626,0,404,0,DREW,18,0,4124,22,105,2/26/2020 12:00:00 AM,,,7,2,1628,BRIAN,,1628,0,1317,3/25/2022 12:00:00 AM,,,1736,,,0,DREWST,0,0,2005,System.Byte[],{d3c937d5-cddb-4119-84bb-7fa56e685b02},10700,1,0,0e3b60e2-a49a-49a5-9bbd-37fba1672f46,701,1628,0.00129804175583289,1A,St
16,1,1,,MILTON RD,100,5,2, ,BYRON PL,0,229,0,DREWRY E.,10,0,35494,24,105,2/26/2020 12:00:00 AM,3,,7,2,1629,BRIAN,,1629,0,1317,3/25/2022 12:00:00 AM,,,1738,,,0,DREWRYELN,0,0,2000,System.Byte[],{62b207ca-3660-4af5-b379-186f3df31913},1726,1,0,d5f4d7bd-aa7d-4eb8-bb6b-7cbdd70c1ed9,1173,1629,0.000695571518662709,1A,Ln
17,1,1,,BYRON PL,110,5,2, ,KIPLING PL,0,403,0,DREWRY E.,10,1,35495,24,105,2/26/2020 12:00:00 AM,3,,7,2,1630,BRIAN,,1630,0,1317,3/25/2022 12:00:00 AM,,,1738,,,0,DREWRYELN,0,0,2000,System.Byte[],{ad8d3b2f-b1f5-4fe3-9ab6-8202f75fb83d},6999,1,0,72a516a3-7342-4ae4-a71b-5fa5fba39c9c,10720,1630,0.00114349199092203,1A,Ln
18,1,1,,KIPLING PL,126,5,2, ,ANDERSON DR,0,703,0,DREWRY E.,10,0,35496,24,105,2/26/2020 12:00:00 AM,3,,7,2,1631,BRIAN,,1631,0,1317,3/25/2022 12:00:00 AM,,,1738,,,0,DREWRYELN,0,0,2000,System.Byte[],{ec2b3439-1b92-45b6-9e34-b0fd82efcaf7},9589,1,0,e1f07abb-3317-4dce-8346-e8f3ac095db7,11458,1631,0.00219002791694425,1A,Ln
19,1,1,,MILTON RD,100,5,2, ,DELL DR,0,1127,0,DREWRY W.,10,0,35493,24,105,2/26/2020 12:00:00 AM,4,,7,2,1632,BRIAN,,1632,0,1317,3/25/2022 12:00:00 AM,,,1739,,,0,DREWRYWLN,0,0,2000,System.Byte[],{376c524b-dea8-4b1a-8fe0-4f1b5a0f30c6},4368,1,0,94bff8cf-7783-484e-9e90-9f2f2b3cdcfa,2078,1632,0.00375698941492909,1A,Ln
20,1,1,,DELL DR,300,5,2, ,BURNS PL,0,294,0,DREWRY W.,10,0,39447,24,105,2/26/2020 12:00:00 AM,4,,7,2,1633,BRIAN,,1633,0,1317,3/25/2022 12:00:00 AM,,,1739,,,0,DREWRYWLN,0,0,2000,System.Byte[],{402dc304-b1a0-43fd-9090-c7955ad2bdc2},17546,1,0,f735c0f8-704d-4d0a-9b1a-74753edd0dd3,4585,1633,0.000951469530737642,1A,Ln
21,1,1,,BURNS PL,310,5,2, ,LANDOR RD,0,500,0,DREWRY W.,10,0,39452,24,105,2/26/2020 12:00:00 AM,4,,7,2,1634,BRIAN,,1634,0,1317,3/25/2022 12:00:00 AM,,,1739,,,0,DREWRYWLN,0,0,2000,System.Byte[],{76e4837e-b154-44c0-ae46-c192c6f19ce0},1879,1,0,33dcf71c-1a20-41fd-9b2e-90a3735fe220,6441,1634,0.00171577373315683,1A,Ln
22,1,1,,LAMBETH DR,4400,1,2, ,E. ROWAN ST,0,313,0,DREXEL,8,0,35136,22,105,2/26/2020 12:00:00 AM,,,7,2,1635,BRIAN,,1635,0,1317,3/25/2022 12:00:00 AM,,,1740,,,0,DREXELDR,0,0,1982,System.Byte[],{8fd5e568-df4c-4902-b16e-b272e49f8722},11988,1,0,c610a8eb-9424-47da-a448-78f3d27482b6,7052,1635,0.000945092379052659,1A,Dr
23,1,1,,E. ROWAN ST,4500,1,2, ,WESTRIDGE DR,0,1073,0,DREXEL,8,0,35554,22,105,2/26/2020 12:00:00 AM,,,7,2,1636,BRIAN,,1636,0,1317,3/25/2022 12:00:00 AM,,,1740,,,0,DREXELDR,0,0,1982,System.Byte[],{6775dcb5-8369-4202-b4e9-37982b1c9343},9436,1,0,14def881-7c22-4bd2-9346-47f40646fd83,7053,1636,0.00309722671772632,1A,Dr
24,1,1,,CDS,500,1,2, ,CEDARWOOD DR,0,132,0,DRIEWOOD,6,0,33680,22,105,2/26/2020 12:00:00 AM,,,7,2,1637,BRIAN,,1637,0,1317,3/25/2022 12:00:00 AM,,,1741,,,0,DRIEWOODCT,0,0,2001,System.Byte[],{cd8181e5-3232-44ac-9c0b-cf959d06ef8c},9289,1,0,8cb076ea-76d6-4ad1-91b5-3c0be20feaba,702,1637,0.000409546811122362,1A,Ct
25,1,1,,DEBOY ST,4300,5,2, ,BAYFIELD DR,0,355,0,DRIFTWOOD,8,1,15498,22,105,2/26/2020 12:00:00 AM,,,7,2,1638,BRIAN,,1638,0,1317,3/25/2022 12:00:00 AM,,,1742,,,0,DRIFTWOODDR,0,0,1998,System.Byte[],{18959c5a-bee8-490e-8390-7c5154f5989e},6004,1,0,563f5070-8cb8-4d34-a99f-e314ffb39fe2,703,1638,0.0012025857241933,1A,Dr
26,1,1,,BAYFIELD DR,4306,5,2, ,POWELL DR,0,1132,0,DRIFTWOOD,8,1,15499,22,105,2/26/2020 12:00:00 AM,,,7,2,1639,BRIAN,,1639,0,1317,3/25/2022 12:00:00 AM,,,1742,,,0,DRIFTWOODDR,0,0,1998,System.Byte[],{1a208764-25a9-400c-be03-1602be3254f1},770,1,0,9002edbc-8bf5-405d-96b2-69538cf2aad7,812,1639,0.00387044493640271,1A,Dr
