sensor_id,datetime,Temperature,Relative.Humidity,hour,date_dt,week,GMaps_ID,randomize,treat_25,Shade,Sidewalk,St2Pole_in,COR_WIDTH,yr_repave,UHI_Qtile2,pct_treec,treatment_date,treatment_week,treatment_wave,sensor_direction,street_name,datetime_orig,cloud_type,temp_f_rdu_fill,dewpoint_f_rdu_fill,precip_in_rdu_fill,sunny,toh_rad_wm2_fill,avg_rad_wm2_fill,dt_rise,dt_set,daytime_hour,rh_pct,daylight_mins,sunny_hours,sfc_sw_down_wgt,sfc_sw_down_mean,daylight_mins_l1,sunny_hours_l1,sfc_sw_down_wgt_l1,sfc_sw_down_mean_l1,pair_data_missing,post,treat_post,date,time_unit
2503418,2026-06-25 05:00:00-04:00,67.2,83.7,5.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 05:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 05:20:00-04:00,67.0,85.2,5.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 05:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 05:40:00-04:00,67.1,86.2,5.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 05:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 06:00:00-04:00,67.0,86.8,6.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 06:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 06:20:00-04:00,67.2,87.4,6.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 06:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 06:40:00-04:00,67.9,86.6,6.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 06:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 07:00:00-04:00,68.9,85.5,7.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 07:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 07:20:00-04:00,71.1,83.0,7.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 07:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 07:40:00-04:00,73.4,77.9,7.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 07:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 08:00:00-04:00,75.5,75.3,8.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 08:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 08:20:00-04:00,76.6,73.3,8.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 08:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 08:40:00-04:00,78.1,71.3,8.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 08:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 09:00:00-04:00,78.7,69.9,9.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 09:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 09:20:00-04:00,79.3,67.7,9.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 09:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 09:40:00-04:00,79.6,66.7,9.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 09:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 10:00:00-04:00,81.6,65.3,10.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 10:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 10:20:00-04:00,81.9,63.7,10.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 10:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 10:40:00-04:00,82.2,59.8,10.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 10:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 11:00:00-04:00,82.6,58.6,11.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 11:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 11:20:00-04:00,84.3,55.2,11.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 11:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 11:40:00-04:00,83.5,56.0,11.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 11:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 12:00:00-04:00,86.6,52.7,12.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 12:00:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 12:20:00-04:00,85.0,51.0,12.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 12:20:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
2503418,2026-06-25 12:40:00-04:00,85.3,50.4,12.0,2026-06-25,26,KILGORE_BROOKS AV_DIXIE TR,36,0,No,Yes,22,22,2023,7,0.636363636364,2025-09-12,37,1.0,N,KILGORE,2026-06-25 12:40:00,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,2026-06-25,-11
