"GlobalID","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","GMaps_ID"
"42a1a6e3-2666-4771-a3d7-7a7c2b0267d3","KIPAWA","HAMPTON RD","SANDIA DR","St",731,18,22,0,2,"1A",2022,1,36,NA,0,1,1,0,1786.88888888889,"Yes","Yes",1,"No",1,11,"A","Dense Trees (LCZ A)",7,0.972222222222,85.1012639497456,82.7067119196842,67.8865488955849,67.2173753035696,82.340414147628,80.2796799509149,7,"newer",1,"29",57,FALSE,"KIPAWA_HAMPTON RD_SANDIA DR"
"3052678d-a7e5-4391-86ef-2cd2c55ce782","LORRAINE","MEDLIN DR","DEVONSHIRE DR","Rd",731,15,25,0,2,"1A",2023,1,NA,NA,0,0,0,1,2030.55555555556,"Yes","Yes",4,"Yes",1,6,"6","Open lowrise",6,0.642201834862,85.4871439615886,84.4140491739909,68.2945951334635,67.5635071818034,83.8103061930338,81.3875375366211,6,"newer",1,"3",68,FALSE,"LORRAINE_MEDLIN DR_DEVONSHIRE DR"
"0628a4a2-5462-4300-9a0a-b42a1e337cc8","MADIERA","FIESTA WY","CDS","Ct",513,6,22,0,2,"1A",2023,1,NA,NA,0,0,0,1,1254,"No","Yes",1,"No",1,6,"6","Open lowrise",2,0.797297297297,86.7266529224537,84.358401828342,68.7858156274866,68.0668231822826,83.561309673168,81.0259426258228,2,"newer",1,"70",116,FALSE,"MADIERA_FIESTA WY_CDS"
"4c447560-8477-42fd-b8c1-a523337c605c","LAKE","COLTON PL","DIX ST","Dr",688,8,22,0,2,"1A",2021,1,NA,NA,0,0,0,1,1681.77777777778,"Yes","No",4,"No",1,6,"6","Open lowrise",6,0.831683168317,85.3972290263456,84.4457791272332,68.7984556310317,67.8962313708137,83.8483019436107,82.0858242932488,6,"newer",1,"2",103,FALSE,"LAKE_COLTON PL_DIX ST"
"de110372-9100-4627-954b-fe76166a0c2a","LAKE","DIX ST","LAKE DR W.","Dr",538,8,22,0,2,"1A",2021,1,NA,NA,0,0,0,1,1315.11111111111,"Yes","No",2,"No",1,6,"6","Open lowrise",6,0.949367088608,85.1677356296115,84.0318756103515,68.675264287878,67.7660632663303,83.4473070215296,81.5676888359918,6,"newer",1,"36",12,FALSE,"LAKE_DIX ST_LAKE DR W."
"e31c323f-0a87-44a7-a084-1b727fd87614","MARCOM","VARSITY DR","COLLEGEVIEW AV","St",211,18,22,0,2,"1A",2022,1,46,NA,0,1,1,0,515.777777777778,"Yes","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.111111111111,86.6900787353516,84.9977607727051,68.9130668640137,68.2546607426235,84.250025340489,81.8462987627302,8,"newer",1,"30",5,TRUE,"MARCOM_VARSITY DR_COLLEGEVIEW AV"
"66aa3669-e624-4446-91d3-d9bb72e46ada","MARCOM","COLLEGEVIEW AV","GORMAN ST","St",733,18,22,0,2,"1A",2022,1,46,NA,0,1,1,0,1791.77777777778,"Yes","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.104761904762,86.4256606230865,84.8977448746965,69.3885522790857,68.6033195289405,84.4010300507417,81.9160465549779,8,"newer",1,"31",14,TRUE,"MARCOM_COLLEGEVIEW AV_GORMAN ST"
"78a0ee47-4ddc-49df-a638-e2eee6759c1f","NORTH HILLS","NORTHBROOK DR","KIMBERLY DR","Dr",660,8,40,0,2,"1A",2019,1,56,NA,0,1,1,0,2933.33333333333,"Yes","Yes",4,"Yes",1,11,"A","Dense Trees (LCZ A)",6,0.979591836735,85.3472035725912,83.0007309191155,67.700165719697,67.0870666503906,81.6215303594416,79.6123791318951,6,"older",1,"32",97,FALSE,"NORTH HILLS_NORTHBROOK DR_KIMBERLY DR"
"5d386401-dfa2-41b1-bee7-6ab72c94a181","NORTH HILLS","KIMBERLY DR","THAYER DR","Dr",1366,8,40,0,2,"1A",2019,1,56,NA,0,1,1,0,6071.11111111111,"Yes","Yes",6,"Yes",1,11,"A","Dense Trees (LCZ A)",6,0.826315789474,85.2009570563017,82.1732392951624,67.7123848075297,67.0406066552917,80.7935029214887,79.1764692050308,6,"older",1,"33",100,FALSE,"NORTH HILLS_KIMBERLY DR_THAYER DR"
"818fe101-85f2-4719-bb68-9b9fe7be3d27","NORTH HILLS","THAYER DR","THAYER DR","Dr",968,8,40,0,2,"1A",2019,1,56,NA,0,1,1,0,4302.22222222222,"Yes","Yes",7,"Yes",1,11,"A","Dense Trees (LCZ A)",6,0.896296296296,85.3142665227254,82.3194534778595,67.6214793523153,67.0484306812286,80.8764661947886,79.2138340473175,6,"older",1,"34",32,TRUE,"NORTH HILLS_THAYER DR_THAYER DR"
"024bf1ad-2e1e-411c-8a67-b7647d4fb00b","NORTH HILLS","THAYER DR","SHELLEY RD","Dr",691,8,40,0,2,"1A",2019,1,56,NA,0,1,1,0,3071.11111111111,"Yes","Yes",4,"Yes",1,11,"A","Dense Trees (LCZ A)",3,0.60396039604,85.7280225082183,83.5015904601191,67.4687285087478,66.9268144419495,81.965407358089,79.8529781287825,3,"older",1,"35",13,TRUE,"NORTH HILLS_THAYER DR_SHELLEY RD"
"19443186-cb17-49e8-a1ef-89b3f5cce4a3","SLADE HILL","ROYAL OAKS DR","WEYBRIDGE DR","Rd",551,15,22,0,2,"1A",2022,1,76,NA,0,1,1,0,1346.88888888889,"No","Yes",2,"Yes",1,11,"A","Dense Trees (LCZ A)",6,0.939024390244,85.3675842285156,83.5454203741891,67.9564688546317,67.3395504270281,83.0127585274832,80.507013457162,6,"newer",1,"36",12,FALSE,"SLADE HILL_ROYAL OAKS DR_WEYBRIDGE DR"
"e152b95a-33e2-4461-8407-cfd54a984f8f","SOUTHGATE","CRAWFORD RD","PROCTOR RD","Dr",400,8,30,0,2,"1A",2020,1,NA,NA,0,0,0,1,1333.33333333333,"Yes","Yes",2,"No",1,6,"6","Open lowrise",6,0.5,86.7812850258567,84.488430369984,68.4690853465687,67.8496964194558,83.695688941262,80.984808141535,6,"older",1,"58",112,FALSE,"SOUTHGATE_CRAWFORD RD_PROCTOR RD"
"7ac893fb-afe1-489e-bdef-ac5e1ccf6cd2","ST AUGUSTINE","NEW BERN AVE","BOYER ST","Av",424,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,1036.44444444444,"Yes","No",5,"No",1,6,"6","Open lowrise",10,0.36231884058,86.8956920789636,85.1921778139861,69.3875596419625,68.4470447042714,84.7485424539317,81.971224743387,10,"newer",1,"37",15,TRUE,"ST AUGUSTINE_NEW BERN AVE_BOYER ST"
"d788b2fb-e0e5-4021-9538-f2af725f44c9","ST AUGUSTINE","BOYER ST","E. JONES ST","Av",272,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,664.888888888889,"Yes","No",2,"No",1,6,"6","Open lowrise",10,0.191489361702,87.2289645671844,85.2131567001343,69.0602734088898,68.2664239406586,84.6949031352997,81.8370237350464,10,"newer",1,"38",56,FALSE,"ST AUGUSTINE_BOYER ST_E. JONES ST"
"b2a76d3f-3f78-4469-8fa8-b6840382cd91","ST AUGUSTINE","E. JONES ST","PENDER ST","Av",242,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,591.555555555556,"Yes","No",3,"No",1,6,"6","Open lowrise",10,0.0487804878049,87.491344996861,85.2055206298828,68.8357617514474,68.0495469229562,84.5888216836112,81.8133828299386,10,"newer",1,"39",17,TRUE,"ST AUGUSTINE_E. JONES ST_PENDER ST"
"7a781c59-625a-46c1-8547-865af77f4fef","ST AUGUSTINE","PENDER ST","E. LANE ST","Av",278,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,679.555555555556,"Yes","No",1,"No",1,6,"6","Open lowrise",10,0.760869565217,87.1613762378693,84.8834416866302,68.4565856456757,67.6799321174622,83.2425694465637,81.1497519016266,10,"newer",1,"40",90,FALSE,"ST AUGUSTINE_PENDER ST_E. LANE ST"
"90c6a7db-59a9-4973-ab0c-78e778d67e66","ST AUGUSTINE","E. LANE ST","OAKWOOD AV","Av",301,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,735.777777777778,"Yes","No",3,"No",1,6,"6","Open lowrise",10,0.679245283019,86.9945031243402,84.6773164078996,68.4265963580157,67.672395448427,82.7529573182802,80.8258881440034,10,"newer",1,"41",21,TRUE,"ST AUGUSTINE_E. LANE ST_OAKWOOD AV"
"7d4f0541-f966-4dea-a006-659c78a96652","REAVIS","METHOD RD","CHANEY RD","Rd",428,15,22,0,2,"1A",2022,1,66,NA,0,1,1,0,1046.22222222222,"Yes","No",1,"Yes",1,6,"6","Open lowrise",10,0.605633802817,86.1961286895129,84.3781391065948,69.6493422839106,68.9174205235072,84.0402475473832,81.7128627543547,10,"newer",1,"43",37,TRUE,"REAVIS_METHOD RD_CHANEY RD"
"4a54da76-34b3-49ed-bb9d-b12fc3feab95","TAMARACK","VALLEY ESTATES DR","BUCKEYE CT","Ct",329,6,24,0,2,"1A",2020,1,NA,NA,0,0,0,1,877.333333333333,"No","Yes",2,"No",1,6,"6","Open lowrise",5,0.555555555556,86.9856625607139,84.6899851748818,68.8996636240106,68.1709068699887,83.4594140303762,81.3785777844881,5,"older",1,"17",59,FALSE,"TAMARACK_VALLEY ESTATES DR_BUCKEYE CT"
"acac3c93-e57b-462c-9aff-e50cb43aa9d6","TANBARK","BUCKHEAD DR","GRIST MILL RD","Wy",204,22,36,0,2,"1A",2022,1,82,NA,0,1,1,0,816,"No","Yes",1,"Yes",1,6,"6","Open lowrise",5,0.864864864865,86.386315981547,84.379732131958,68.5575501124064,67.8261349995931,83.5980386734009,81.0507303873698,5,"newer",1,"44",73,FALSE,"TANBARK_BUCKHEAD DR_GRIST MILL RD"
"c793d7ac-4c9a-4bd1-845e-3fffb8c5a9ff","TANBARK","GRIST MILL RD","HARPS MILL RD","Wy",904,22,36,0,2,"1A",2022,1,82,NA,0,1,1,0,3616,"No","Yes",2,"Yes",1,6,"6","Open lowrise",5,0.60162601626,86.3593413106511,84.5082802933254,68.6372668662768,67.9834797034103,83.8677382737064,81.2144237046831,5,"newer",1,"45",93,FALSE,"TANBARK_GRIST MILL RD_HARPS MILL RD"
"9019c5e4-811c-4ab2-abf2-52bfccce9391","SHILOH","CDS","BELLOW ST","Ct",261,6,22,0,2,"1A",2022,1,74,NA,0,1,1,0,638,"No","Yes",1,"No",1,11,"A","Dense Trees (LCZ A)",4,1,85.5857459477016,83.3120574951172,67.5906445639474,67.0316502707345,81.2505318777902,79.4150366101946,4,"newer",1,"46",87,FALSE,"SHILOH_CDS_BELLOW ST"
"5785cb5f-1428-4136-8165-a14acb0d6c86","THE LAKES","LAKE HILL DR","LAKE HILL DR","Dr",442,8,36,0,2,"1A",2019,1,83,NA,0,1,1,0,1768,"No","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.705882352941,85.9002232551575,84.3844741185506,68.7053257624308,67.9862713813782,83.4705235163371,81.4724362691244,8,"older",1,"48",77,FALSE,"THE LAKES_LAKE HILL DR_LAKE HILL DR"
"52a91083-cd1f-4c31-bad7-cb4cd02c3c37","THE LAKES","BEG PVMT PRIV PROP","LAKE HILL DR","Dr",643,8,36,0,2,"1A",2019,1,83,NA,0,1,1,0,2572,"No","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.852941176471,85.908847432741,84.2116552003672,68.5137589145714,67.7860568409235,83.4297039408079,81.360655018981,8,"older",1,"49",105,FALSE,"THE LAKES_BEG PVMT PRIV PROP_LAKE HILL DR"
