"StreetName","Shade","Sidewalk","GMaps_ID","DukePoleID","St2Pole_in","SW_Front","SW_Back","Cross_St","SensDirect","SensorID","StDirect","longitude_","latitude_y","GlobalID","CreationDa","Creator","EditDate","Editor","GlobalID.y","COR_STREET","COR_BEGIN_","COR_END_DE","ST_TYPE_ST","COR_LENGTH","COR_ST_TYP","COR_WIDTH","DIRECTION_","LANE_COUNT","LEAF_ID","yr_repave","surface","street_id","treat_year","prev_treat","treat_25","pot_treat","pot_comp","sqyd_est","duke_poles","lite_poles","pole_est","sidewalks","any_poles","grid_code","LCZ_filter","LCZ_desc","UHI_Qtile","pct_treec","hw_af_hi_f","hw_af_t_f","hw_am_hi_f","hw_am_t_f","hw_pm_hi_f","hw_pm_t_f","UHI_Qtile2","repave_grp","weights","subclass","randomize","select_loc","lon_x","lat_y"
"St Augustine","No","Yes","ST AUGUSTINE_NEW BERN AVE_BOYER ST","CP&L RF109","18","No","Yes","No","74 E","3086552","3 N",-78.61894213,35.78048106,"fe64872b-cc48-40b0-bf86-38323ecbe34f",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","7ac893fb-afe1-489e-bdef-ac5e1ccf6cd2","ST AUGUSTINE","NEW BERN AVE","BOYER ST","Av",424,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,1036.44444444444,"Yes","No",5,"No",1,6,"6","Open lowrise",10,0.36231884058,86.8956920789636,85.1921778139861,69.3875596419625,68.4470447042714,84.7485424539317,81.971224743387,10,"newer",1,37,15,TRUE,-78.6189421325383,35.7804810596085
"St Augustine","No","No","ST AUGUSTINE_E. JONES ST_PENDER ST","CP&L RD741","30","N/A","N/A","No","290 W","3085267","15 N",-78.61895838,35.78222237,"4cae8314-9492-476f-8635-1950009c5a78",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","b2a76d3f-3f78-4469-8fa8-b6840382cd91","ST AUGUSTINE","E. JONES ST","PENDER ST","Av",242,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,591.555555555556,"Yes","No",3,"No",1,6,"6","Open lowrise",10,0.0487804878049,87.491344996861,85.2055206298828,68.8357617514474,68.0495469229562,84.5888216836112,81.8133828299386,10,"newer",1,39,17,TRUE,-78.6189583776719,35.7822223664828
"Marcom","No","No","MARCOM_COLLEGEVIEW AV_GORMAN ST","CP&L JL19 K","127","N/A","N/A","No","195 S","2974346","112 E",-78.68644162,35.779251,"bc8a65e3-eef6-4996-9813-e5242843d8aa",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","66aa3669-e624-4446-91d3-d9bb72e46ada","MARCOM","COLLEGEVIEW AV","GORMAN ST","St",733,18,22,0,2,"1A",2022,1,46,NA,0,1,1,0,1791.77777777778,"Yes","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.104761904762,86.4256606230865,84.8977448746965,69.3885522790857,68.6033195289405,84.4010300507417,81.9160465549779,8,"newer",1,31,14,TRUE,-78.6864416211404,35.7792510043991
"Marcom","No","Yes","MARCOM_VARSITY DR_COLLEGEVIEW AV","CP&L RDJ3","17","No","Yes","Yes","5 N","2974167","283 W",-78.6845119,35.77920178,"8a7901ee-b28f-472d-a22b-565210f109d5",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","e31c323f-0a87-44a7-a084-1b727fd87614","MARCOM","VARSITY DR","COLLEGEVIEW AV","St",211,18,22,0,2,"1A",2022,1,46,NA,0,1,1,0,515.777777777778,"Yes","Yes",1,"Yes",1,6,"6","Open lowrise",8,0.111111111111,86.6900787353516,84.9977607727051,68.9130668640137,68.2546607426235,84.250025340489,81.8462987627302,8,"newer",1,30,5,TRUE,-78.6845119042645,35.7792017817679
"Gorman","Yes","Yes","GORMAN_SHERMAN AV_GREENLEAF ST","CP&L LS66 K","41","No","Yes","No","258 W","3086542","166 S",-78.68723736,35.78234615,"4d3887e6-cfd9-49cd-98b2-505619f4c8e7",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","fffc46bf-fa79-4b49-a1f7-fafc80e524e8","GORMAN","SHERMAN AV","GREENLEAF ST","St",1185,18,36,0,3,"1A",2022,1,NA,NA,0,0,0,1,4740,"Yes","Yes",7,"Yes",1,5,"5","Open midrise",10,0.245508982036,86.4687226668648,84.679008749257,70.8528815891431,69.9966636326002,84.5583153102709,81.8595732315727,10,"newer",1,5,29,TRUE,-78.6872373578022,35.7823461459878
"Reavis","No","No","REAVIS_METHOD RD_CHANEY RD","CP&L RB990","112","Yes","No","No","3 N","3085261","265 W",-78.6946304,35.78548622,"e736a380-ebdf-42a2-bfe1-b749277a3dbb",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","7d4f0541-f966-4dea-a006-659c78a96652","REAVIS","METHOD RD","CHANEY RD","Rd",428,15,22,0,2,"1A",2022,1,66,NA,0,1,1,0,1046.22222222222,"Yes","No",1,"Yes",1,6,"6","Open lowrise",10,0.605633802817,86.1961286895129,84.3781391065948,69.6493422839106,68.9174205235072,84.0402475473832,81.7128627543547,10,"newer",1,43,37,TRUE,-78.6946304045557,35.7854862211802
"St Augustine","Yes","No","ST AUGUSTINE_E. LANE ST_OAKWOOD AV","CP&L RD321","21","N/A","N/A","No","104 E","2974348","10 N",-78.61877122,35.78376977,"f84b7e81-4e36-4d25-8f12-fc28b529c628",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","90c6a7db-59a9-4973-ab0c-78e778d67e66","ST AUGUSTINE","E. LANE ST","OAKWOOD AV","Av",301,2,22,0,2,"1A",2022,1,79,NA,0,1,1,0,735.777777777778,"Yes","No",3,"No",1,6,"6","Open lowrise",10,0.679245283019,86.9945031243402,84.6773164078996,68.4265963580157,67.672395448427,82.7529573182802,80.8258881440034,10,"newer",1,41,21,TRUE,-78.6187712190723,35.7837697666035
"Lakewood","No","Yes","OAKWOOD_ST AUGUSTINE AV_HILL ST","CP&L RCC68","24","No","Yes","Yes","10 N","2974170","183 W",-78.61862036,35.78423661,"68cfbb09-0aff-42b8-bbc5-f0689aae629a",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","4fd9e761-2cf4-4357-92af-073d8482207b","OAKWOOD","ST AUGUSTINE AV","HILL ST","Av",391,2,30,0,2,"1A",2022,1,58,NA,0,1,1,0,1303.33333333333,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",10,0,87.2174252596768,84.8024272918701,68.6164415532892,67.9141684445468,83.8412368080833,81.1101535450329,10,"newer",1,54,27,TRUE,-78.6186203640883,35.7842366149264
"Boundary","Yes","Yes","BOUNDARY_N. BLOODWORTH ST_N. EAST ST","PEC G665BK","13","No","Yes","No","190 S","2974344","100 E",-78.63240618,35.78804288,"51c55956-ad06-4c0d-a005-03cc0390d7dc",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","e2f1beb0-f63b-45ef-aeb1-e123bf441a94","BOUNDARY","N. BLOODWORTH ST","N. EAST ST","St",270,18,30,0,2,"1A",2022,1,55,NA,0,1,1,0,900,"Yes","Yes",1,"Yes",1,6,"6","Open lowrise",10,0.666666666667,86.9616296291351,85.0423769950867,69.4153788089752,68.6563227176666,84.22816157341,81.6041874885559,10,"newer",1,47,23,TRUE,-78.6324061790347,35.7880428758143
"Watauga","No","No","WATAUGA_N. BOUNDARY ST_E. FRANKLIN ST","CP&L RFV95","22","N/A","N/A","Yes","285 W","3086554","185 S",-78.62852208,35.78910282,"f74234d9-bb47-41f0-9091-e89c5751fb58",2025-06-19,"kburley_UNC",2025-06-19,"kburley_UNC","d384e850-dbd4-433a-9e27-7f27088808ca","WATAUGA","N. BOUNDARY ST","E. FRANKLIN ST","St",686,18,22,0,2,"1A",2021,1,NA,NA,0,0,0,1,1676.88888888889,"Yes","Yes",3,"Yes",1,6,"6","Open lowrise",10,0.61,87.1505746150363,85.0799828128538,69.1052260467972,68.2939257414444,84.5250804735267,81.4904394840849,10,"newer",1,111,3,TRUE,-78.6285220784435,35.7891028243549
