Device Name,D2 - 2401090
Device Model,Kestrel DROP 2
Serial Number,2401090
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,%,°F,°F
2025-06-19 08:40:00 PM,76.7,79.2,79.0,69.8,point
2025-06-19 09:00:00 PM,71.5,93.6,73.4,69.5,point
2025-06-19 09:20:00 PM,72.1,97.8,74.8,71.5,point
2025-06-19 09:40:00 PM,72.8,98.8,75.7,72.4,point
2025-06-19 10:00:00 PM,73.1,99.4,76.3,72.9,point
2025-06-19 10:20:00 PM,73.1,99.7,76.3,73.0,point
2025-06-19 10:40:00 PM,73.0,100.0,76.1,73.0,point
2025-06-19 11:00:00 PM,72.6,99.9,75.6,72.5,point
2025-06-19 11:20:00 PM,72.2,100.0,75.0,72.2,point
2025-06-19 11:40:00 PM,72.1,100.0,75.0,72.1,point
2025-06-20 12:00:00 AM,72.0,100.0,74.7,72.0,point
2025-06-20 12:20:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 12:40:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 01:00:00 AM,71.9,100.0,74.5,71.9,point
2025-06-20 01:20:00 AM,72.3,100.0,75.0,72.3,point
2025-06-20 01:40:00 AM,72.4,100.0,75.2,72.4,point
2025-06-20 02:00:00 AM,72.3,100.0,75.0,72.3,point
2025-06-20 02:20:00 AM,72.1,100.0,74.7,72.1,point
2025-06-20 02:40:00 AM,71.7,100.0,74.1,71.7,point
2025-06-20 03:00:00 AM,71.4,100.0,73.6,71.4,point
2025-06-20 03:20:00 AM,71.1,100.0,73.4,71.1,point
2025-06-20 03:40:00 AM,71.0,100.0,73.0,70.9,point
2025-06-20 04:00:00 AM,70.6,100.0,72.5,70.6,point
2025-06-20 04:20:00 AM,70.6,100.0,72.5,70.6,point
2025-06-20 04:40:00 AM,70.4,100.0,72.3,70.4,point
2025-06-20 05:00:00 AM,70.2,100.0,72.1,70.2,point
2025-06-20 05:20:00 AM,70.0,100.0,72.0,70.0,point
2025-06-20 05:40:00 AM,69.6,100.0,71.6,69.6,point
2025-06-20 06:00:00 AM,69.4,100.0,71.2,69.4,point
2025-06-20 06:20:00 AM,68.9,100.0,70.5,68.9,point
2025-06-20 06:40:00 AM,68.6,100.0,70.3,68.6,point
2025-06-20 07:00:00 AM,68.5,100.0,70.2,68.5,point
2025-06-20 07:20:00 AM,68.6,100.0,70.3,68.6,point
2025-06-20 07:40:00 AM,68.4,98.7,70.2,68.0,point
2025-06-20 08:00:00 AM,68.9,98.3,70.7,68.4,point
2025-06-20 08:20:00 AM,69.3,95.2,70.9,67.9,point
2025-06-20 08:40:00 AM,70.0,92.0,71.6,67.6,point
2025-06-20 09:00:00 AM,71.2,90.6,72.9,68.3,point
2025-06-20 09:20:00 AM,72.3,87.0,74.1,68.2,point
2025-06-20 09:40:00 AM,73.5,80.2,75.0,67.0,point
2025-06-20 10:00:00 AM,76.0,73.7,77.4,67.0,point
2025-06-20 10:20:00 AM,78.5,68.3,80.6,67.2,point
2025-06-20 10:40:00 AM,80.2,58.9,81.5,64.5,point
2025-06-20 11:00:00 AM,82.6,52.2,83.8,63.4,point
2025-06-20 11:20:00 AM,84.9,47.0,86.2,62.4,point
2025-06-20 11:40:00 AM,85.9,48.7,88.5,64.3,point
2025-06-20 12:00:00 PM,86.5,43.5,87.8,61.7,point
2025-06-20 12:20:00 PM,87.0,44.9,88.9,63.0,point
2025-06-20 12:40:00 PM,86.0,41.7,86.7,60.0,point
2025-06-20 01:00:00 PM,88.1,41.1,89.6,61.5,point
2025-06-20 01:20:00 PM,87.7,40.7,88.9,60.9,point
2025-06-20 01:40:00 PM,88.0,38.2,88.7,59.4,point
2025-06-20 02:00:00 PM,88.2,39.6,89.2,60.6,point
2025-06-20 02:20:00 PM,89.6,37.9,90.9,60.5,point
2025-06-20 02:40:00 PM,89.3,37.1,90.3,59.7,point
2025-06-20 03:00:00 PM,88.0,39.5,89.1,60.3,point
2025-06-20 03:20:00 PM,87.1,39.6,87.6,59.6,point
2025-06-20 03:40:00 PM,87.5,41.0,88.7,60.9,point
2025-06-20 04:00:00 PM,87.9,39.8,88.7,60.4,point
2025-06-20 04:20:00 PM,87.3,40.0,88.2,60.0,point
2025-06-20 04:40:00 PM,86.5,38.7,86.4,58.3,point
2025-06-20 05:00:00 PM,87.5,39.2,88.0,59.6,point
2025-06-20 05:20:00 PM,88.2,40.2,89.4,61.0,point
2025-06-20 05:40:00 PM,87.4,40.3,88.2,60.3,point
2025-06-20 06:00:00 PM,86.9,41.1,87.6,60.4,point
2025-06-20 06:20:00 PM,86.8,42.7,88.0,61.4,point
2025-06-20 06:40:00 PM,85.7,41.9,86.2,60.0,point
2025-06-20 07:00:00 PM,85.0,44.8,85.8,61.2,point
2025-06-20 07:20:00 PM,84.7,49.2,86.5,63.5,point
2025-06-20 07:40:00 PM,83.5,50.7,85.1,63.3,point
2025-06-20 08:00:00 PM,81.1,55.8,82.2,63.8,point
2025-06-20 08:20:00 PM,79.0,59.6,80.1,63.7,point
2025-06-20 08:40:00 PM,77.4,64.3,78.3,64.4,point
2025-06-20 09:00:00 PM,76.1,66.5,76.6,64.2,point
2025-06-20 09:20:00 PM,75.3,68.2,75.9,64.1,point
2025-06-20 09:40:00 PM,74.6,70.6,75.4,64.4,point
2025-06-20 10:00:00 PM,73.9,72.4,74.8,64.4,point
2025-06-20 10:20:00 PM,73.1,74.9,74.1,64.7,point
2025-06-20 10:40:00 PM,72.4,75.3,73.6,64.1,point
2025-06-20 11:00:00 PM,72.0,77.7,73.2,64.6,point
2025-06-20 11:20:00 PM,71.4,78.9,72.5,64.5,point
2025-06-20 11:40:00 PM,71.2,80.2,72.3,64.7,point
2025-06-21 12:00:00 AM,70.4,80.7,71.4,64.2,point
2025-06-21 12:20:00 AM,70.3,82.6,71.4,64.8,point
2025-06-21 12:40:00 AM,69.6,83.2,70.5,64.3,point
2025-06-21 01:00:00 AM,69.5,84.4,70.5,64.6,point
2025-06-21 01:20:00 AM,68.9,86.3,69.8,64.6,point
2025-06-21 01:40:00 AM,68.9,87.2,69.8,64.9,point
2025-06-21 02:00:00 AM,68.3,88.3,69.3,64.7,point
2025-06-21 02:20:00 AM,68.0,89.0,68.9,64.6,point
2025-06-21 02:40:00 AM,67.5,90.8,68.5,64.7,point
2025-06-21 03:00:00 AM,67.6,90.8,68.5,64.8,point
2025-06-21 03:20:00 AM,67.6,92.1,68.7,65.2,point
2025-06-21 03:40:00 AM,67.4,92.2,68.5,65.0,point
2025-06-21 04:00:00 AM,67.2,93.4,68.2,65.2,point
2025-06-21 04:20:00 AM,67.0,94.4,68.2,65.3,point
2025-06-21 04:40:00 AM,67.1,94.2,68.4,65.4,point
2025-06-21 05:00:00 AM,66.8,95.2,68.0,65.4,point
2025-06-21 05:20:00 AM,66.4,96.2,67.8,65.3,point
2025-06-21 05:40:00 AM,66.5,96.5,67.8,65.4,point
2025-06-21 06:00:00 AM,66.1,96.9,67.3,65.2,point
2025-06-21 06:20:00 AM,66.1,97.3,67.3,65.3,point
2025-06-21 06:40:00 AM,66.3,97.6,67.6,65.6,point
2025-06-21 07:00:00 AM,66.7,98.1,68.2,66.1,point
2025-06-21 07:20:00 AM,67.5,98.0,69.1,66.9,point
2025-06-21 07:40:00 AM,68.9,95.7,70.3,67.6,point
2025-06-21 08:00:00 AM,70.3,93.2,71.8,68.2,point
2025-06-21 08:20:00 AM,72.5,89.6,74.5,69.2,point
2025-06-21 08:40:00 AM,74.1,88.5,76.5,70.5,point
2025-06-21 09:00:00 AM,76.1,86.5,79.0,71.7,point
2025-06-21 09:20:00 AM,78.2,82.4,82.4,72.3,point
2025-06-21 09:40:00 AM,79.3,75.2,83.3,70.8,point
2025-06-21 10:00:00 AM,81.3,69.8,85.6,70.5,point
2025-06-21 10:20:00 AM,83.4,66.1,88.9,70.9,point
2025-06-21 10:40:00 AM,84.9,61.0,90.7,70.0,point
2025-06-21 11:00:00 AM,86.7,57.7,93.2,70.0,point
2025-06-21 11:20:00 AM,89.8,52.4,97.7,70.1,point
2025-06-21 11:40:00 AM,88.8,47.0,93.0,66.0,point
2025-06-21 12:00:00 PM,90.4,45.0,95.2,66.2,point
2025-06-21 12:20:00 PM,90.6,47.0,96.6,67.7,point
2025-06-21 12:40:00 PM,91.8,47.0,99.1,68.7,point
2025-06-21 01:00:00 PM,90.9,44.2,95.9,66.1,point
2025-06-21 01:20:00 PM,91.5,40.7,95.4,64.2,point
2025-06-21 01:40:00 PM,92.2,39.8,96.3,64.2,point
2025-06-21 02:00:00 PM,92.9,39.7,97.7,64.8,point
2025-06-21 02:20:00 PM,93.8,38.7,98.8,64.8,point
2025-06-21 02:40:00 PM,93.6,37.6,97.9,63.9,point
2025-06-21 03:00:00 PM,91.7,40.5,95.7,64.3,point
2025-06-21 03:20:00 PM,91.3,41.2,95.4,64.5,point
2025-06-21 03:40:00 PM,91.1,40.7,94.8,63.9,point
2025-06-21 04:00:00 PM,91.2,41.8,95.2,64.8,point
2025-06-21 04:20:00 PM,90.7,42.3,94.8,64.7,point
2025-06-21 04:40:00 PM,89.1,43.4,92.3,64.0,point
2025-06-21 05:00:00 PM,89.0,49.3,94.3,67.5,point
2025-06-21 05:20:00 PM,91.0,44.8,96.3,66.6,point
2025-06-21 05:40:00 PM,90.4,44.8,95.2,66.0,point
2025-06-21 06:00:00 PM,89.6,45.4,93.6,65.7,point
2025-06-21 06:20:00 PM,89.7,45.8,94.1,66.1,point
2025-06-21 06:40:00 PM,88.3,48.0,92.3,66.2,point
2025-06-21 07:00:00 PM,87.9,49.0,91.9,66.4,point
2025-06-21 07:20:00 PM,86.7,50.9,90.7,66.4,point
2025-06-21 07:40:00 PM,86.0,52.8,90.3,66.8,point
2025-06-21 08:00:00 PM,84.2,55.7,87.6,66.7,point
2025-06-21 08:20:00 PM,82.6,58.8,85.1,66.7,point
2025-06-21 08:40:00 PM,81.3,61.1,83.5,66.6,point
2025-06-21 09:00:00 PM,80.0,64.9,82.4,67.1,point
2025-06-21 09:20:00 PM,78.8,67.8,81.1,67.3,point
2025-06-21 09:40:00 PM,77.7,70.4,79.3,67.3,point
2025-06-21 10:00:00 PM,76.9,73.1,78.4,67.6,point
2025-06-21 10:20:00 PM,76.1,74.8,77.5,67.5,point
2025-06-21 10:40:00 PM,75.7,75.8,77.2,67.5,point
2025-06-21 11:00:00 PM,76.2,76.8,77.9,68.4,point
2025-06-21 11:20:00 PM,76.1,78.8,77.9,69.0,point
2025-06-21 11:40:00 PM,75.8,81.5,78.1,69.8,point
2025-06-22 12:00:00 AM,75.5,83.6,77.9,70.2,point
2025-06-22 12:20:00 AM,75.8,85.3,78.4,71.1,point
2025-06-22 12:40:00 AM,76.4,85.8,79.2,71.8,point
2025-06-22 01:00:00 AM,76.7,85.3,79.9,72.0,point
2025-06-22 01:20:00 AM,76.5,85.8,79.5,71.9,point
2025-06-22 01:40:00 AM,76.0,87.4,79.2,72.0,point
2025-06-22 02:00:00 AM,75.1,89.4,78.1,71.8,point
2025-06-22 02:20:00 AM,74.6,91.1,77.5,71.8,point
2025-06-22 02:40:00 AM,73.8,92.7,76.6,71.6,point
2025-06-22 03:00:00 AM,73.6,93.8,76.5,71.7,point
2025-06-22 03:20:00 AM,73.4,95.0,76.3,71.9,point
2025-06-22 03:40:00 AM,73.1,95.3,75.9,71.7,point
2025-06-22 04:00:00 AM,72.9,96.0,75.7,71.7,point
2025-06-22 04:20:00 AM,72.6,96.8,75.2,71.6,point
2025-06-22 04:40:00 AM,72.6,97.1,75.2,71.7,point
2025-06-22 05:00:00 AM,72.4,97.3,75.0,71.6,point
2025-06-22 05:20:00 AM,72.3,97.8,75.2,71.7,point
2025-06-22 05:40:00 AM,72.3,97.3,75.0,71.5,point
2025-06-22 06:00:00 AM,72.2,97.7,74.8,71.5,point
2025-06-22 06:20:00 AM,71.9,97.2,74.1,71.1,point
2025-06-22 06:40:00 AM,71.8,98.1,74.3,71.3,point
2025-06-22 07:00:00 AM,72.2,98.2,74.8,71.6,point
2025-06-22 07:20:00 AM,72.8,97.3,75.6,72.0,point
2025-06-22 07:40:00 AM,73.7,96.6,76.8,72.6,point
2025-06-22 08:00:00 AM,75.2,94.1,79.0,73.4,point
2025-06-22 08:20:00 AM,76.6,90.2,80.2,73.5,point
2025-06-22 08:40:00 AM,78.2,84.8,82.9,73.3,point
2025-06-22 09:00:00 AM,79.8,81.5,85.6,73.6,point
2025-06-22 09:20:00 AM,81.4,77.3,87.8,73.6,point
2025-06-22 09:40:00 AM,82.6,76.2,90.1,74.3,point
2025-06-22 10:00:00 AM,84.2,70.0,92.3,73.4,point
2025-06-22 10:20:00 AM,86.7,69.1,97.7,75.3,point
2025-06-22 10:40:00 AM,87.9,64.6,98.4,74.5,point
2025-06-22 11:00:00 AM,90.6,57.4,101.8,73.5,point
2025-06-22 11:20:00 AM,92.3,53.0,103.1,72.6,point
2025-06-22 11:40:00 AM,93.6,51.0,105.3,72.8,point
2025-06-22 12:00:00 PM,93.7,47.5,102.9,70.7,point
2025-06-22 12:20:00 PM,94.6,44.6,103.3,69.7,point
2025-06-22 12:40:00 PM,95.7,44.2,105.8,70.4,point
2025-06-22 01:00:00 PM,95.1,43.3,103.6,69.2,point
2025-06-22 01:20:00 PM,94.7,47.6,105.6,71.7,point
2025-06-22 01:40:00 PM,96.3,44.3,107.1,71.0,point
2025-06-22 02:00:00 PM,93.6,48.6,103.6,71.3,point
2025-06-22 02:20:00 PM,96.2,45.8,107.8,71.9,point
2025-06-22 02:40:00 PM,91.2,49.5,99.0,69.7,point
2025-06-22 03:00:00 PM,93.6,47.5,102.9,70.6,point
2025-06-22 03:20:00 PM,94.2,47.4,104.2,71.1,point
2025-06-22 03:40:00 PM,95.4,44.2,104.9,70.1,point
2025-06-22 04:00:00 PM,94.5,43.9,102.7,69.1,point
2025-06-22 04:20:00 PM,94.2,46.0,103.3,70.2,point
2025-06-22 04:40:00 PM,94.7,47.3,105.4,71.5,point
2025-06-22 05:00:00 PM,92.5,50.0,101.8,71.1,point
2025-06-22 05:20:00 PM,92.5,53.4,103.8,73.1,point
2025-06-22 05:40:00 PM,93.7,49.6,104.9,72.1,point
2025-06-22 06:00:00 PM,93.8,48.1,103.8,71.2,point
2025-06-22 06:20:00 PM,93.4,49.2,103.6,71.5,point
2025-06-22 06:40:00 PM,92.6,50.1,102.4,71.3,point
2025-06-22 07:00:00 PM,92.5,50.2,102.4,71.3,point
2025-06-22 07:20:00 PM,91.2,52.8,100.8,71.6,point
2025-06-22 07:40:00 PM,90.6,55.0,100.4,72.2,point
2025-06-22 08:00:00 PM,88.5,57.7,97.0,71.7,point
2025-06-22 08:20:00 PM,87.0,62.3,95.5,72.5,point
2025-06-22 08:40:00 PM,85.5,65.4,93.6,72.6,point
2025-06-22 09:00:00 PM,84.5,67.8,91.9,72.7,point
2025-06-22 09:20:00 PM,83.6,70.0,90.5,72.8,point
2025-06-22 09:40:00 PM,82.9,71.4,89.2,72.7,point
2025-06-22 10:00:00 PM,82.5,72.3,88.7,72.7,point
